cell,row,column,crate,slot,chan,bin,txfiber,txch,rxrocid,rxfiber,rxch
57,4,4,SBS_ECALVTP1_ROCID,6,9,5,-1,-1,None,-1,-1
58,4,5,SBS_ECALVTP1_ROCID,6,10,5,-1,-1,None,-1,-1
59,4,6,SBS_ECALVTP1_ROCID,6,11,6,-1,-1,None,-1,-1
60,4,7,SBS_ECALVTP1_ROCID,6,12,6,-1,-1,None,-1,-1
61,4,8,SBS_ECALVTP1_ROCID,6,13,6,-1,-1,None,-1,-1
62,4,9,SBS_ECALVTP1_ROCID,6,14,7,-1,-1,None,-1,-1
63,4,10,SBS_ECALVTP1_ROCID,6,15,7,-1,-1,None,-1,-1
64,4,11,SBS_ECALVTP1_ROCID,7,0,7,-1,-1,None,-1,-1
65,4,12,SBS_ECALVTP1_ROCID,7,1,8,-1,-1,None,-1,-1
66,4,13,SBS_ECALVTP1_ROCID,7,2,8,-1,-1,None,-1,-1
67,4,14,SBS_ECALVTP1_ROCID,7,3,8,-1,-1,None,-1,-1
68,4,15,SBS_ECALVTP1_ROCID,7,4,9,-1,-1,None,-1,-1
69,4,16,SBS_ECALVTP1_ROCID,7,5,9,-1,-1,None,-1,-1
70,4,17,SBS_ECALVTP1_ROCID,7,6,9,-1,-1,None,-1,-1
71,4,18,SBS_ECALVTP1_ROCID,7,7,10,-1,-1,None,-1,-1
72,5,1,SBS_ECALVTP1_ROCID,7,8,4,-1,-1,None,-1,-1
73,5,2,SBS_ECALVTP1_ROCID,7,9,4,-1,-1,None,-1,-1
74,5,3,SBS_ECALVTP1_ROCID,7,10,5,-1,-1,None,-1,-1
75,5,4,SBS_ECALVTP1_ROCID,7,11,5,-1,-1,None,-1,-1
76,5,5,SBS_ECALVTP1_ROCID,7,12,5,-1,-1,None,-1,-1
77,5,6,SBS_ECALVTP1_ROCID,7,13,6,-1,-1,None,-1,-1
78,5,7,SBS_ECALVTP1_ROCID,7,14,6,-1,-1,None,-1,-1
79,5,8,SBS_ECALVTP1_ROCID,7,15,6,-1,-1,None,-1,-1
80,5,9,SBS_ECALVTP1_ROCID,8,0,7,-1,-1,None,-1,-1
81,5,10,SBS_ECALVTP1_ROCID,8,1,7,-1,-1,None,-1,-1
82,5,11,SBS_ECALVTP1_ROCID,8,2,7,-1,-1,None,-1,-1
83,5,12,SBS_ECALVTP1_ROCID,8,3,8,-1,-1,None,-1,-1
84,5,13,SBS_ECALVTP1_ROCID,8,4,8,-1,-1,None,-1,-1
85,5,14,SBS_ECALVTP1_ROCID,8,5,8,-1,-1,None,-1,-1
86,5,15,SBS_ECALVTP1_ROCID,8,6,9,-1,-1,None,-1,-1
87,5,16,SBS_ECALVTP1_ROCID,8,7,9,-1,-1,None,-1,-1
88,5,17,SBS_ECALVTP1_ROCID,8,8,9,-1,-1,None,-1,-1
89,5,18,SBS_ECALVTP1_ROCID,8,9,10,-1,-1,None,-1,-1
90,6,0,SBS_ECALVTP1_ROCID,8,10,11,-1,-1,None,-1,-1
91,6,1,SBS_ECALVTP1_ROCID,8,11,11,-1,-1,None,-1,-1
92,6,2,SBS_ECALVTP1_ROCID,8,12,11,-1,-1,None,-1,-1
93,6,3,SBS_ECALVTP1_ROCID,8,13,12,-1,-1,None,-1,-1
94,6,4,SBS_ECALVTP1_ROCID,8,14,12,-1,-1,None,-1,-1
95,6,5,SBS_ECALVTP1_ROCID,8,15,12,-1,-1,None,-1,-1
96,6,6,SBS_ECALVTP1_ROCID,9,0,13,-1,-1,None,-1,-1
97,6,7,SBS_ECALVTP1_ROCID,9,1,13,-1,-1,None,-1,-1
98,6,8,SBS_ECALVTP1_ROCID,9,2,13,-1,-1,None,-1,-1
99,6,9,SBS_ECALVTP1_ROCID,9,3,14,-1,-1,None,-1,-1
100,6,10,SBS_ECALVTP1_ROCID,9,4,14,-1,-1,None,-1,-1
101,6,11,SBS_ECALVTP1_ROCID,9,5,14,-1,-1,None,-1,-1
102,6,12,SBS_ECALVTP1_ROCID,9,6,15,-1,-1,None,-1,-1
103,6,13,SBS_ECALVTP1_ROCID,9,7,15,-1,-1,None,-1,-1
104,6,14,SBS_ECALVTP1_ROCID,9,8,15,-1,-1,None,-1,-1
105,6,15,SBS_ECALVTP1_ROCID,9,9,16,-1,-1,None,-1,-1
106,6,16,SBS_ECALVTP1_ROCID,9,10,16,-1,-1,None,-1,-1
107,6,17,SBS_ECALVTP1_ROCID,9,11,16,-1,-1,None,-1,-1
108,6,18,SBS_ECALVTP1_ROCID,9,12,17,-1,-1,None,-1,-1
109,6,19,SBS_ECALVTP1_ROCID,9,13,17,-1,-1,None,-1,-1
110,6,20,SBS_ECALVTP1_ROCID,9,14,17,-1,-1,None,-1,-1
111,7,0,SBS_ECALVTP1_ROCID,9,15,11,-1,-1,None,-1,-1
112,7,1,SBS_ECALVTP1_ROCID,10,0,11,-1,-1,None,-1,-1
113,7,2,SBS_ECALVTP1_ROCID,10,1,11,-1,-1,None,-1,-1
114,7,3,SBS_ECALVTP1_ROCID,10,2,12,-1,-1,None,-1,-1
115,7,4,SBS_ECALVTP1_ROCID,10,3,12,-1,-1,None,-1,-1
116,7,5,SBS_ECALVTP1_ROCID,10,4,12,-1,-1,None,-1,-1
117,7,6,SBS_ECALVTP1_ROCID,10,5,13,-1,-1,None,-1,-1
118,7,7,SBS_ECALVTP1_ROCID,10,6,13,-1,-1,None,-1,-1
119,7,8,SBS_ECALVTP1_ROCID,10,7,13,-1,-1,None,-1,-1
120,7,9,SBS_ECALVTP1_ROCID,10,8,14,-1,-1,None,-1,-1
121,7,10,SBS_ECALVTP1_ROCID,10,9,14,-1,-1,None,-1,-1
122,7,11,SBS_ECALVTP1_ROCID,10,10,14,-1,-1,None,-1,-1
123,7,12,SBS_ECALVTP1_ROCID,10,11,15,-1,-1,None,-1,-1
124,7,13,SBS_ECALVTP1_ROCID,10,12,15,-1,-1,None,-1,-1
125,7,14,SBS_ECALVTP1_ROCID,10,13,15,-1,-1,None,-1,-1
126,7,15,SBS_ECALVTP1_ROCID,10,14,16,-1,-1,None,-1,-1
127,7,16,SBS_ECALVTP1_ROCID,10,15,16,-1,-1,None,-1,-1
128,7,17,SBS_ECALVTP1_ROCID,13,0,16,-1,-1,None,-1,-1
129,7,18,SBS_ECALVTP1_ROCID,13,1,17,-1,-1,None,-1,-1
130,7,19,SBS_ECALVTP1_ROCID,13,2,17,-1,-1,None,-1,-1
131,7,20,SBS_ECALVTP1_ROCID,13,3,17,-1,-1,None,-1,-1
132,8,0,SBS_ECALVTP1_ROCID,13,4,11,-1,-1,None,-1,-1
133,8,1,SBS_ECALVTP1_ROCID,13,5,11,-1,-1,None,-1,-1
134,8,2,SBS_ECALVTP1_ROCID,13,6,11,-1,-1,None,-1,-1
135,8,3,SBS_ECALVTP1_ROCID,13,7,12,-1,-1,None,-1,-1
136,8,4,SBS_ECALVTP1_ROCID,13,8,12,-1,-1,None,-1,-1
137,8,5,SBS_ECALVTP1_ROCID,13,9,12,-1,-1,None,-1,-1
138,8,6,SBS_ECALVTP1_ROCID,13,10,13,-1,-1,None,-1,-1
139,8,7,SBS_ECALVTP1_ROCID,13,11,13,-1,-1,None,-1,-1
140,8,8,SBS_ECALVTP1_ROCID,13,12,13,-1,-1,None,-1,-1
141,8,9,SBS_ECALVTP1_ROCID,13,13,14,-1,-1,None,-1,-1
142,8,10,SBS_ECALVTP1_ROCID,13,14,14,-1,-1,None,-1,-1
143,8,11,SBS_ECALVTP1_ROCID,13,15,14,-1,-1,None,-1,-1
144,8,12,SBS_ECALVTP1_ROCID,14,0,15,-1,-1,None,-1,-1
145,8,13,SBS_ECALVTP1_ROCID,14,1,15,-1,-1,None,-1,-1
146,8,14,SBS_ECALVTP1_ROCID,14,2,15,-1,-1,None,-1,-1
147,8,15,SBS_ECALVTP1_ROCID,14,3,16,-1,-1,None,-1,-1
148,8,16,SBS_ECALVTP1_ROCID,14,4,16,-1,-1,None,-1,-1
149,8,17,SBS_ECALVTP1_ROCID,14,5,16,-1,-1,None,-1,-1
150,8,18,SBS_ECALVTP1_ROCID,14,6,17,-1,-1,None,-1,-1
151,8,19,SBS_ECALVTP1_ROCID,14,7,17,-1,-1,None,-1,-1
152,8,20,SBS_ECALVTP1_ROCID,14,8,17,-1,-1,None,-1,-1
153,9,1,SBS_ECALVTP1_ROCID,14,9,18,-1,-1,None,-1,-1
154,9,2,SBS_ECALVTP1_ROCID,14,10,18,-1,-1,None,-1,-1
155,9,3,SBS_ECALVTP1_ROCID,14,11,19,-1,-1,None,-1,-1
156,9,4,SBS_ECALVTP1_ROCID,14,12,19,-1,-1,None,-1,-1
157,9,5,SBS_ECALVTP1_ROCID,14,13,19,-1,-1,None,-1,-1
158,9,6,SBS_ECALVTP1_ROCID,14,14,20,-1,-1,None,-1,-1
159,9,7,SBS_ECALVTP1_ROCID,14,15,20,-1,-1,None,-1,-1
160,9,8,SBS_ECALVTP1_ROCID,15,0,20,-1,-1,None,-1,-1
161,9,9,SBS_ECALVTP1_ROCID,15,1,21,-1,-1,None,-1,-1
162,9,10,SBS_ECALVTP1_ROCID,15,2,21,-1,-1,None,-1,-1
163,9,11,SBS_ECALVTP1_ROCID,15,3,21,-1,-1,None,-1,-1
164,9,12,SBS_ECALVTP1_ROCID,15,4,22,-1,-1,None,-1,-1
165,9,13,SBS_ECALVTP1_ROCID,15,5,22,-1,-1,None,-1,-1
166,9,14,SBS_ECALVTP1_ROCID,15,6,22,-1,-1,None,-1,-1
167,9,15,SBS_ECALVTP1_ROCID,15,7,23,-1,-1,None,-1,-1
168,9,16,SBS_ECALVTP1_ROCID,15,8,23,-1,-1,None,-1,-1
169,9,17,SBS_ECALVTP1_ROCID,15,9,23,-1,-1,None,-1,-1
170,9,18,SBS_ECALVTP1_ROCID,15,10,24,-1,-1,None,-1,-1
171,9,19,SBS_ECALVTP1_ROCID,15,11,24,-1,-1,None,-1,-1
172,9,20,SBS_ECALVTP1_ROCID,15,12,24,-1,-1,None,-1,-1
173,9,21,SBS_ECALVTP1_ROCID,15,13,25,-1,-1,None,-1,-1
174,10,1,SBS_ECALVTP1_ROCID,15,14,18,3,0,SBS_ECALVTP2_ROCID,1,0
175,10,2,SBS_ECALVTP1_ROCID,15,15,18,3,1,SBS_ECALVTP2_ROCID,1,1
